Assessment,Type,Country,Region,Date,Status,Availability,"PEFA check",Framework,Language,"Lead Agencies","Link to Content"
"Argentina San Juan Province 2012",Subnational,Argentina,"Latin America & Caribbean",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2011
"Argentina San Juan Province 2021",Subnational,Argentina,"Latin America & Caribbean",2021,Final,Non-public,Yes,"2021 SNG Framework",Spanish,"Government, WB",https://www.pefa.org/node/4504
"Argentina Santa Fe Province 2012",Subnational,Argentina,"Latin America & Caribbean",2012,Final,Public,"N/A (pre-2012)","2011 Framework",Spanish,WB,https://www.pefa.org/node/2006
"Armenia 2008",National,Armenia,"Europe & Central Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2931
"Armenia 2014",National,Armenia,"Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1586
"Armenia Yerevan City 2013",Subnational,Armenia,"Europe & Central Asia",2013,Final,Public,Yes,"2011 Framework",English,WB,https://www.pefa.org/node/1581
"Aruba 2008",National,Aruba,"Latin America & Caribbean",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2231
"Azerbaijan 2008",National,Azerbaijan,"Europe & Central Asia",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2321
"Azerbaijan 2014",National,Azerbaijan,"Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1346
"Bangladesh 2006",National,Bangladesh,"South Asia",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2831
"Bangladesh 2010",National,Bangladesh,"South Asia",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1921
"Bangladesh 2016",National,Bangladesh,"South Asia",2016,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/506
"Bangladesh 2021",National,Bangladesh,"South Asia",,Planned,Non-public,None,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5087
"Bangladesh GRPFM 2021/Gender Annex/",National,Bangladesh,"South Asia",,Planned,Non-public,None,"Gender Framework",English,"Government, WB",https://www.pefa.org/node/5088
"Barbados 2006",National,Barbados,"Latin America & Caribbean",2006,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2001
"Barbados 2010",National,Barbados,"Latin America & Caribbean",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1996
"Barbados 2013",National,Barbados,"Latin America & Caribbean",2013,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,IADB,https://www.pefa.org/node/1231
"Belarus 2009",National,Belarus,"Europe & Central Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2541
"Belarus 2014",National,Belarus,"Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1166
"Belgium Brussels Capital Region 2021",Subnational,Belgium,"Europe & Central Asia",2021,Final,Public,Yes,"2021 SNG Framework",English,"EU, Government",https://www.pefa.org/node/4501
"Belgium Brussels Capital Region GRPFM 2021/Annex/",Subnational,Belgium,"Europe & Central Asia",2021,Final,Public,Yes,"Gender Framework",English,"EU, Government",https://www.pefa.org/node/5074
"Belize 2009",National,Belize,"Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2301
"Belize 2014",National,Belize,"Latin America & Caribbean",2014,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1326
"Benin 2007",National,Benin,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3096
"Benin 2012",National,Benin,"Sub-Saharan Africa",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1576
"Benin 2014",National,Benin,"Sub-Saharan Africa",2014,Final,Public,Yes,"2011 Framework",French,Government,https://www.pefa.org/node/1366
"Benin Cotonou Municipality 2012",Subnational,Benin,"Sub-Saharan Africa",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,AfD,https://www.pefa.org/node/1816
"Bhutan 2010",National,Bhutan,"South Asia",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2486
"Bhutan 2016",National,Bhutan,"South Asia",2016,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/601
"Bhutan 2021",National,Bhutan,"South Asia",,Planned,Non-public,,"2016 Framework",English,"Government, WBG",https://www.pefa.org/node/5111
"Bhutan GRPFM 2021 /Gender Annex/",National,Bhutan,"South Asia",,Planned,Non-public,,"Gender Framework",English,"Government, WBG",https://www.pefa.org/node/5112
"Bolivia 2007",National,Bolivia,"Latin America & Caribbean",2007,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1991
"Bolivia 2009",National,Bolivia,"Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2516
"Bolivia La Paz 2017",Subnational,Bolivia,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,Government,https://www.pefa.org/node/501
"Bosnia and Herzegovina 2022",National,"Bosnia and Herzegovina","Europe & Central Asia",,Planned,Non-public,,"2016 Framework",English,EU,https://www.pefa.org/node/5183
"Bosnia and Herzegovina BiH 2014",National,"Bosnia and Herzegovina","Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",English,WB,https://www.pefa.org/node/1226
"Bosnia and Herzegovina District Brčko 2014",National,"Bosnia and Herzegovina","Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",English,WB,https://www.pefa.org/node/1056
"Bosnia and Herzegovina FBiH 2014",National,"Bosnia and Herzegovina","Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",English,WB,https://www.pefa.org/node/1066
"Bosnia and Herzegovina Republika Srpska 2014",National,"Bosnia and Herzegovina","Europe & Central Asia",2014,Final,Public,Yes,"2011 Framework",English,WB,https://www.pefa.org/node/1061
"Botswana 2009",National,Botswana,"Sub-Saharan Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3081
"Botswana 2013",National,Botswana,"Sub-Saharan Africa",2013,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1446
"Botswana 2020",National,Botswana,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/241
"Botswana GRPFM 2022",National,Botswana,"Sub-Saharan Africa",2022,Final,Public,Yes,"Gender Framework",English,Government,https://www.pefa.org/node/5091
"Brazil 2009",National,Brazil,"Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2511
"Brazil Ceara State 2009",Subnational,Brazil,"Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1986
"Brazil Distrito Federal 2009",Subnational,Brazil,"Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1981
"Brazil Minas Gerais State 2009",Subnational,Brazil,"Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1976
"Brazil Pernambuco State 2009",Subnational,Brazil,"Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1971
"Brazil Santa Catarina State 2015",Subnational,Brazil,"Latin America & Caribbean",2015,Final,Non-public,None,"Testing Framework",Portuguese,"Government, WB",https://www.pefa.org/node/226
"Brazil Teresina Municipality 2015",Subnational,Brazil,"Latin America & Caribbean",2015,Draft,Non-public,None,"2011 Framework",,"Government, WB",https://www.pefa.org/node/886
"Burkina Faso 2007",National,"Burkina Faso","Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3076
"Burkina Faso 2010",National,"Burkina Faso","Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/3091
"Burkina Faso 2014",National,"Burkina Faso","Sub-Saharan Africa",2014,Final,Public,Yes,"2011 Framework",,Government,https://www.pefa.org/node/1356
"Burkina Faso 2017",National,"Burkina Faso","Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/541
"Burkina Faso 2022",National,"Burkina Faso","Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",,,https://www.pefa.org/node/5144
"Burkina Faso Ouagadougou 2021",Subnational,"Burkina Faso","Sub-Saharan Africa",2021,Final,Public,Yes,"2021 SNG Framework",French,"AfD, Government",https://www.pefa.org/node/3691
"Burkina Faso Ougadougou 2010",Subnational,"Burkina Faso","Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,"MFA France",https://www.pefa.org/node/3101
"Burundi 2009",National,Burundi,"Sub-Saharan Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2731
"Burundi 2012",National,Burundi,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1846
"Burundi 2015",National,Burundi,"Sub-Saharan Africa",2015,Draft,Non-public,None,"2011 Framework",,EU,https://www.pefa.org/node/966
"Burundi 2022",National,Burundi,"Sub-Saharan Africa",,Planned,Non-public,,,French,EU,https://www.pefa.org/node/5184
"Burundi GRPFM 2022 /Gender Annex/",National,Burundi,"Sub-Saharan Africa",,Planned,Non-public,,"Gender Framework",,,https://www.pefa.org/node/5176
"Cabo Verde 2008",National,"Cabo Verde","Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2736
"Cabo Verde 2015",National,"Cabo Verde","Sub-Saharan Africa",2016,Final,Public,Yes,"2011 Framework",Portuguese,EU,https://www.pefa.org/node/836
"Cambodia 2011",National,Cambodia,"East Asia & Pacific",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1256
"Cambodia 2015",National,Cambodia,"East Asia & Pacific",2015,Final,Public,Yes,"2011 Framework",English,Government,https://www.pefa.org/node/1246
"Cambodia 2022",National,Cambodia,"East Asia & Pacific",2022,Final,Public,Yes,"2016 Framework",English,"Government, EU",https://www.pefa.org/node/4231
"Cambodia Phnom Penh 2022",Subnational,Cambodia,"East Asia & Pacific",2022,Final,Non-public,Yes,"2016 Framework",English,"Government, IMF",https://www.pefa.org/node/4006
"Cameroon 12 SNGs",Subnational,Cameroon,"Sub-Saharan Africa",2022,Planned,Non-public,,"2016 Framework",English,"Government, EU, AfD",https://www.pefa.org/node/5031
"Cameroon 12 SNGs GRPFM 2021 /Gender Annex/",Subnational,Cameroon,"Sub-Saharan Africa",,Planned,Non-public,,"Gender Framework",French,,https://www.pefa.org/node/5071
"Cameroon 2008",National,Cameroon,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2456
"Cameroon 2017",National,Cameroon,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/591
"Cameroon Ville de Douala 2012",Subnational,Cameroon,"Sub-Saharan Africa",2012,Final,Public,Yes,"2011 Framework",,AfD,https://www.pefa.org/node/1616
"Cameroon Ville de Douala 2018",Subnational,Cameroon,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/381
"Central African Republic 2008",National,"Central African Republic","Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3126
"Central African Republic 2010",National,"Central African Republic","Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2466
"Central African Republic 2022",National,"Central African Republic","Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",English,EU,https://www.pefa.org/node/5186
"Chad 2009",National,Chad,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2461
"Chad 2018",National,Chad,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/491
"China Chaling County 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/4136
"China Guidong County 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WBG",https://www.pefa.org/node/4538
"China Liling City 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/4516
"China Liuyang City 2020",Subnational,China,"East Asia & Pacific",2020,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/4356
"China Pingjiang County 2020",Subnational,China,"East Asia & Pacific",2020,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/4361
"China Yishang County 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/4517
"China Youxian County 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WBG",https://www.pefa.org/node/4537
"Colombia 2009",National,Colombia,"Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2526
"Colombia 2016",National,Colombia,"Latin America & Caribbean",2016,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/551
"Colombia Bogota 2006",Subnational,Colombia,"Latin America & Caribbean",2006,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1966
"Comoros 2008",National,Comoros,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2451
"Comoros 2013",National,Comoros,"Sub-Saharan Africa",2013,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1571
"Comoros 2016",National,Comoros,"Sub-Saharan Africa",2016,Final,Public,Yes,"2011 Framework",French,"Government, WB",https://www.pefa.org/node/721
"Congo Point Noire Municipality 2015",Subnational,"Republic of Congo","Sub-Saharan Africa",2015,Final,Non-public,Yes,"2011 Framework",French,"AfD, WB",https://www.pefa.org/node/846
"Congo Republic 2006",National,"Republic of Congo","Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3071
"Congo Republic 2014",National,"Republic of Congo","Sub-Saharan Africa",2014,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1361
"Congo Republic 2022 /AGILE REPORT/",National,"Republic of Congo","Sub-Saharan Africa",2022,Draft,Non-public,,"2016 Framework",,"Government, WB",https://www.pefa.org/node/5119
"Cook Islands 2011",National,"Cook Islands","East Asia & Pacific",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/2566
"Cook Islands 2015",National,"Cook Islands","East Asia & Pacific",2015,Final,Public,Yes,"2011 Framework",,IMF,https://www.pefa.org/node/1021
"Cook Islands 2021/AGILE REPORT/",National,"Cook Islands","East Asia & Pacific",2021,Final,Public,Yes,"2016 Framework",English,"Government, IMF",https://www.pefa.org/node/4957
"Costa Rica 2010",National,"Costa Rica","Latin America & Caribbean",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,IADB,https://www.pefa.org/node/2521
"Costa Rica 2016",National,"Costa Rica","Latin America & Caribbean",2016,Final,Public,Yes,"2016 Framework",Spanish,IADB,https://www.pefa.org/node/566
"Costa Rica 2022",National,"Costa Rica","Latin America & Caribbean",,Final,Non-public,Yes,"2016 Framework",,Government,https://www.pefa.org/node/5142
"Cote d'Ivoire 2008",National,"Cote d'Ivoire","Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3066
"Cote d'Ivoire 2013",National,"Cote d'Ivoire","Sub-Saharan Africa",2013,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1441
"Cote D'Ivoire 2019",National,"Cote d'Ivoire","Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",French,"EU, Government",https://www.pefa.org/node/516
"Croatia City of Crikvenica 2014",Subnational,Croatia,"Europe & Central Asia",2014,Final,Public,No,"2011 Framework",,WB,https://www.pefa.org/node/1156
"Croatia City of Koprivnica 2014",Subnational,Croatia,"Europe & Central Asia",2014,Final,Public,No,"2011 Framework",,WB,https://www.pefa.org/node/1151
"Croatia City of Labin 2014",Subnational,Croatia,"Europe & Central Asia",2014,Final,Public,No,"2011 Framework",,WB,https://www.pefa.org/node/1171
"Croatia City of Sisak 2014",Subnational,Croatia,"Europe & Central Asia",2014,Final,Public,No,"2011 Framework",,WB,https://www.pefa.org/node/1111
"Democratic Republic of Congo 2008",National,"Democratic Republic of Congo","Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2726
"Democratic Republic of Congo 2013",National,"Democratic Republic of Congo","Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1566
"Democratic Republic of Congo 2020",National,"Democratic Republic of Congo","Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",French,"EU, Government",https://www.pefa.org/node/3851
"Djibouti 2022",National,Djibouti,"Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",French,Government,https://www.pefa.org/node/4156
"Dominica 2007",National,Dominica,"Latin America & Caribbean",2007,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1961
"Dominica 2010",National,Dominica,"Latin America & Caribbean",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2036
"Dominica 2016",National,Dominica,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2016 Framework",English,IMF,https://www.pefa.org/node/681
"Dominican Republic 2007",National,"Dominican Republic","Latin America & Caribbean",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3121
"Dominican Republic 2009",National,"Dominican Republic","Latin America & Caribbean",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2296
"Dominican Republic 2010",National,"Dominican Republic","Latin America & Caribbean",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2506
"Dominican Republic 2012",National,"Dominican Republic","Latin America & Caribbean",2012,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1721
"Dominican Republic 2016",National,"Dominican Republic","Latin America & Caribbean",2016,Final,Public,Yes,"2016 Framework",Spanish,EU,https://www.pefa.org/node/686
"Dominican Republic 2022",National,"Dominican Republic","Latin America & Caribbean",,Planned,Non-public,Yes,"2016 Framework",Spanish,"Government, EU",https://www.pefa.org/node/5128
"Ecuador 2010",National,Ecuador,"Latin America & Caribbean",2010,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1956
"Ecuador 2014",National,Ecuador,"Latin America & Caribbean",2014,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1106
"Ecuador 2019",National,Ecuador,"Latin America & Caribbean",2019,Final,Non-public,None,"2016 Framework",Spanish,"EU, Government",https://www.pefa.org/node/296
"Ecuador Antonio Ante Municipality 2015",Subnational,Ecuador,"Latin America & Caribbean",2015,Final,Non-public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1086
"Ecuador Azuay Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",Spanish,EU,https://www.pefa.org/node/1096
"Ecuador Carchi Province 2015",Subnational,Ecuador,"Latin America & Caribbean",2015,Final,Non-public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/981
"Ecuador Chimborazo Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1091
"Ecuador Imbabura Province 2015",Subnational,Ecuador,"Latin America & Caribbean",2015,Final,Non-public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/851
"Ecuador Los Rios Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",Spanish,EU,https://www.pefa.org/node/751
"Ecuador Napo Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",Spanish,EU,https://www.pefa.org/node/746
"Ecuador Pichincha Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",Spanish,EU,https://www.pefa.org/node/1351
"Ecuador Santo Domingo Province 2016",Subnational,Ecuador,"Latin America & Caribbean",2016,Final,Non-public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/741
"Ecuador Tungurahua Province",Subnational,Ecuador,"Latin America & Caribbean",2016,Draft,Non-public,None,"2011 Framework",Spanish,EU,https://www.pefa.org/node/736
"Egypt 2009",National,Egypt,"Middle East & North Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2026
"El Salvador 2009",National,"El Salvador","Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2886
"El Salvador 2013",National,"El Salvador","Latin America & Caribbean",2013,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1436
"El Salvador 2019",National,"El Salvador","Latin America & Caribbean",2019,Final,Public,None,"2016 Framework",Spanish,"EU, Government",https://www.pefa.org/node/206
"Eswatini 2007",National,Eswatini,"Sub-Saharan Africa",2007,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2386
"Eswatini 2011",National,Eswatini,"Sub-Saharan Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2126
"Ethiopia 2007",National,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3061
"Ethiopia 2010",National,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2721
"Ethiopia 2015",National,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1321
"Ethiopia 2019",National,Ethiopia,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/161
"Ethiopia Addis Ababa City 2010",Subnational,Ethiopia,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2741
"Ethiopia Addis Ababa City 2015",Subnational,Ethiopia,"Sub-Saharan Africa",2015,Final,Public,None,"2011 Framework",English,WB,https://www.pefa.org/node/1316
"Ethiopia Addis Ababa City 2019",Subnational,Ethiopia,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/3911
"Ethiopia Afar Region 2007",Subnational,Ethiopia,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2676
"Ethiopia Amhara Region  2019",Subnational,Ethiopia,"Sub-Saharan Africa",2019,Final,Public,Yes,"2016 Framework",English,WBG,https://www.pefa.org/node/3711
